fecha,res_total,res_oro_divisas,res_pase_pasivo,res_degs,tc_bcra,bm_billetes_publico,bm_billetes_entidades,bm_cta_cte_bcra,bm_saldo,bm_mas_cuasimonedas,m2,m2_transaccional_priv,dep_cc_priv,dep_ca_priv,dep_pf_no_ajust_priv,dep_pf_ajust_cer_priv,dep_total_pesos_priv,dep_usd_priv_enpesos,dep_total_priv_enpesos,dep_usd_priv,prest_adelantos,prest_documentos,prest_hipotecarios,prest_prendarios,prest_personales,prest_tarjetas,prest_otros,prest_total_pesos,prest_total_usd,prest_total_enpesos,tasa_pf_total_tna,tasa_pf_personas_tna,badlar_total_tna,badlar_privados_tna,tasa_personales_tna,tasa_adelantos_tna,tasa_politica_tna,tasa_politica_tea,pases_pasivos,leliq_notaliq,lefi_entidades,bopreal_lediv,factor_bm_lefi,call_baibar_tna,tasa_pf_usd_tna,prest_usd_enpesos
2002-12-31,,,,,,,,,,,47874.74,,11428.0,8298.0,17570.4478,,62821.75012107921,2098.512,62050.02912107921,624.0,3948.0,5447.0,11367.0,2000.0,2572.0,2202.0,2844.0,30380.0,1373.0,34997.399,,,,,,,,,,,,,,,,4617.399
2003-01-01,,,,,,16398.25161290323,2356.41935483871,10840.45064516129,29595.12161290322,37409.12161290322,1397.500703101214,,-64.677419354839,73.322580645161,2246.751290322583,0.1290322580645161,-304.0859320172458,2.347638709677085,1214.965384111783,43.16129032258061,-248.2580645161288,-302.6774193548381,-227.6129032258068,-239.935483870968,-54.45161290322585,-114.9677419354839,-99.9354838709678,-1287.838709677409,-99.22580645161293,-1943.939945161277,,,,,,,,,,,,,0.0,,,-656.1012354838695
2003-01-02,10500.82,10500.82,0.0,0.0,3.363,16444.04,2457.0,10401.19,29302.23,37116.23,47347.04,,11358.0,8507.0,17867.0,,62921.09904512319,2158.725,62726.82404512319,642.0,4199.0,5163.0,11170.0,1908.0,2692.0,2042.0,2705.0,29879.0,1432.0,34694.1,21.68571405083552,,20.8125,21.75,,,,,,,0.0,0.0,0.0,6.341483254700537,1.982611980251026,4815.1
2003-01-03,10505.25,10505.25,0.0,0.0,3.3625,16490.85,2416.0,10453.02,29359.87,37173.87,47206.85,,11271.0,8481.0,18249.0,,63161.69858011855,2166.32,62975.01858011855,650.0,4255.0,5135.0,11159.0,1910.0,2670.0,2017.0,2715.0,29861.0,1407.0,34550.2496,21.22196076011127,,22.0,18.375,,,,,,,0.0,0.0,0.0,6.498510320449429,2.286377035463732,4689.2496
2003-01-06,10563.68,10563.68,0.0,0.0,3.3328,16514.21,2423.0,10586.4,29523.61,37337.61,47310.21,,11346.0,8437.0,18451.0,,63369.60324324083,2160.521,63177.12424324083,649.0,4207.0,5126.0,11144.0,1905.0,2647.0,1990.0,2695.0,29714.0,1406.0,34394.574,21.60988254799932,,21.3125,18.1875,,,,,,,0.0,0.0,0.0,6.492410069386885,1.894754054416298,4680.574000000001
2003-01-07,10605.28,10605.28,0.0,0.0,3.329,16553.61,2417.0,10896.35,29866.96,37680.96,47296.61,,11436.0,8482.0,18741.0,,63695.4146507551,2137.72,63480.1346507551,650.0,4121.0,5113.0,11132.0,1897.0,2648.0,1984.0,2700.0,29595.0,1396.0,34186.1648,19.8029770818479,,17.625,14.6875,,,,,,,0.0,0.0,0.0,6.557353201609026,1.681375141669815,4591.1648
2003-01-08,10652.29,10652.29,0.0,0.0,3.2888,16596.9,2358.0,11002.77,29957.67,37771.67,47278.9,,11248.0,8636.0,18832.0,,63768.73268886907,2160.536,63606.26868886907,656.0,4181.0,5101.0,11122.0,1896.0,2641.0,1914.0,2711.0,29566.0,1390.0,34143.965,17.82378093815126,,17.0625,13.4375,,,,,,,0.0,0.0,0.0,6.486509773029393,3.028335822288595,4577.965
2003-01-09,10662.47,10662.47,0.0,0.0,3.2935,16615.17,2393.0,10980.07,29988.24,37802.24,47440.17,,11274.0,8561.0,18943.0,,63795.60881800784,2180.8094,63647.41821800784,658.0,4166.0,5102.0,11117.0,1893.0,2637.0,1875.0,2713.0,29503.0,1385.0,34093.3055,16.18329867696023,,14.1875,10.5625,,,,,,,0.0,0.0,0.0,6.018337567585173,1.372577076959284,4590.305499999999
2003-01-10,10645.4,10645.4,0.0,0.0,3.3143,16617.55,2390.0,10672.01,29679.56,37493.56,47283.55,,11139.0,8438.0,18974.0,,63507.66959253071,2213.178,63460.84759253071,660.0,4216.0,5094.0,11105.0,1891.0,2631.0,1860.0,2734.0,29531.0,1382.0,34165.2606,16.28304824379858,,13.9375,8.9375,,,,,,,0.0,0.0,0.0,6.006411471164172,1.845751689189189,4634.2606
2003-01-13,10664.14,10664.14,0.0,0.0,3.3533,16539.9,2445.0,10792.86,29777.76,37591.76,47882.9,,11185.0,8479.0,18976.0,,63619.10028645542,2211.045,63615.14528645542,661.0,4307.0,5089.0,11093.0,1885.0,2620.0,1801.0,2735.0,29530.0,1383.0,34156.135,17.30958913448499,,16.4375,13.75,,,,,,,0.0,0.0,0.0,5.932349323493235,1.617219827586207,4626.135
