fecha;fiscal_res_primario;fiscal_res_primario_pip;fiscal_res_financiero;fiscal_intereses_netos;fiscal_ing_ganancias;fiscal_ing_iva_neto;fiscal_ing_aportes_ss;fiscal_ing_retenciones;fiscal_ing_der_import;fiscal_ing_deb_cred;fiscal_ing_bp;fiscal_ing_no_trib;fiscal_ing_capital;fiscal_gto_jubilaciones;fiscal_gto_asig_fam;fiscal_gto_pens_nc;fiscal_gto_pami;fiscal_gto_subs_energia;fiscal_gto_subs_transp;fiscal_gto_salarios;fiscal_gto_otros_func
2016-01-01;740.7000000000553;0.0;-2197.099999999945;2937.8;20340.3;20467.3;50824.0;5102.599999999999;3846.0;7764.7;161.6;2476.1000000000004;2.8;44934.7;4999.700000000001;7270.3;5436.5;3754.1;5732.200000000001;19098.9;4447.7
2016-02-01;-16642.40999999999;0.0;-20536.70999999999;3894.3;15531.2;20109.65;37246.3;3511.5;3678.7;7232.6;559.4;2292.6;5.1;40459.5;5842.299999999999;4493.4;5666.6;6464.2;4962.700000000001;19032.4;4943.2
2016-03-01;-30012.10000000001;0.0;-41832.2;11820.1;12671.4;21943.3;37906.8;6749.900000000001;4679.5;7890.7;160.10000000000002;3199.9;16.9;47091.5;12033.6;6211.3;5910.8;8585.199999999999;6180.7;18491.1;5161.8
2016-04-01;-10893.46000000002;0.0;-17074.86000000002;6181.399999999999;11897.8;22904.300000000003;42730.7;12214.0;4630.4;8815.4;380.9;2682.1400000000003;2.7;47794.7;7706.7;6168.7;5271.1;8525.400000000001;6488.5;16944.2;5068.2
2016-05-01;-11974.199999999984;0.0;-23993.599999999984;12019.4;25960.7;26738.4;42640.1;8199.3;4518.7;8918.6;2287.6000000000004;3002.0;85.8;48802.0;10586.3;7182.8;5893.2;14617.700000000004;6640.900000000001;17530.3;6108.7
2016-06-01;-44008.00000000006;0.0;-72587.30000000006;28579.3;25273.5;22217.800000000003;43029.5;5004.0;4612.299999999999;9262.9;1305.5;3706.500000000001;66.0;70395.9;8681.8;8054.8;6270.8;17157.800000000003;6993.299999999999;20272.4;6285.5
2016-07-01;-24366.2999999999;0.0;-27584.199999999903;3217.9;18613.800000000003;22482.3;59399.2;7698.3;4726.5;10098.0;692.4;3533.7000000000003;4.3;49197.1;7995.5;5974.1;6322.8;21771.4;6543.0;27085.3;6464.299999999999
2016-08-01;-35415.50468200003;0.0;-38775.40468200003;3359.9;17506.8361;24006.9882;46451.777418;4465.3;4998.0;9018.5;657.4;3784.7;16.1;49947.7;8867.599999999999;6165.3;9907.7;14912.3;7910.3;23008.9;6144.0
2016-09-01;-37017.29999999996;0.0;-48995.79999999996;11978.500000000002;17401.9;25256.3;46070.4;5249.099999999999;5294.000000000001;10122.3;249.90000000000003;4019.1;14.6;56049.4;9669.4;6806.9;6614.9;20204.300000000003;6592.300000000001;24103.2;6431.0
2016-10-01;-61868.29999999996;0.0;-77500.39999999997;15632.100000000002;17777.4;22917.1;46475.8;4507.3;4790.0;9186.2;608.8;4076.2;50.6;57251.8;9716.0;6741.7;8106.1;25779.3;6842.1;23634.6;11007.3
2016-11-01;-13299.749602000054;0.0;-19858.149602000056;6558.400000000001;19152.49;23910.64;51941.760398000006;4312.6;4410.8;10188.4;176.2;4183.700000000001;165.10000000000002;57462.9;9766.3;9389.2;6946.2;10606.1;6498.2;22753.1;8267.9
2016-12-01;-58768.90000000011;0.0;-83849.8000000001;25080.9;21295.3;24888.6;53370.9;5104.2;5209.9;10840.0;569.2;4323.199999999999;12.499999999999998;85080.59999999999;12294.0;5790.6;9060.8;56826.9;8862.900000000001;34876.9;9010.0
2017-01-01;3587.200000000099;0.0;-5555.899999999901;9143.1;21623.7;26497.3;67192.09999999999;5999.0;5031.2;10869.1;167.6;3843.2;1.2999999999999998;62979.6;9485.2;8162.2;7802.0;2890.8;5871.5;26104.6;7972.8
2017-02-01;-26746.800000000047;0.0;-29999.800000000047;3253.0000000000005;17376.4;24067.6;51972.2;1111.4;4181.5;9519.4;453.0;4373.5;44.0;60482.8;9670.0;7047.5;7245.400000000001;6078.8;7787.2;24611.9;4962.9
2017-03-01;-18184.199999999924;0.0;-35081.49999999993;16897.300000000003;16294.3;23844.300000000003;54312.1;5875.099999999999;5292.0;10941.1;198.6;4240.6;3.1;66508.9;16349.8;7910.9;7886.9;5753.299999999999;6141.900000000001;23869.6;6643.7
2017-04-01;-18663.600000000035;0.0;-49011.90000000004;30348.3;14551.7;26919.1;56286.100000000006;9223.4;4683.6;10817.7;487.1;5534.199999999999;1.5;65186.3;10203.6;7557.2;7080.4;9758.6;8339.7;23746.5;7464.9
2017-05-01;-27239.399999999998;0.0;-44045.2;16805.800000000003;25683.1;26732.1;57241.6;6162.2;4922.0;10758.3;217.0;5044.5;16.400000000000002;69835.5;12031.7;8357.2;7874.3;9241.4;7735.200000000001;23920.700000000004;8462.400000000001
2017-06-01;-57038.80000000005;0.0;-91852.20000000004;34813.399999999994;29958.9;28188.4;53914.9;5419.4;5519.3;12153.7;1740.6;5366.8;241.1;98340.1;11752.9;10041.9;8234.9;10799.100000000002;6749.599999999999;25913.4;11534.2
2017-07-01;-22089.600000000035;0.0;-32720.90000000003;10631.299999999996;25372.6;29200.1;77910.7;7620.9;5551.3;12252.3;1340.3;5007.8;2.9000000000000004;72582.0;10945.1;7770.2;10355.6;11104.7;8024.2;35041.399999999994;8827.2
2017-08-01;-24650.600000000035;0.0;-31545.200000000037;6894.6;23787.4;31746.7;58459.2;6450.1;6779.7;12028.6;1050.0;5537.1;9.5;70301.5;11634.6;7949.599999999999;8589.4;9156.8;6076.300000000001;27072.9;8695.1
2017-09-01;-31353.10000000001;0.0;-51176.600000000006;19823.5;25381.7;31390.1;60213.5;4811.599999999999;6494.599999999999;13199.8;965.7;4679.8;401.8;77812.59999999999;12133.0;8593.4;8856.0;8294.699999999999;6252.3;27448.5;9433.4
2017-10-01;-32494.79999999993;0.0;-61931.59999999993;29436.8;23973.2;31758.9;62464.6;3740.5;6523.7;11792.1;1041.0;5728.2;1008.9;81402.80000000002;12189.7;8487.9;8644.1;9107.6;6738.9;27698.9;8313.6
2017-11-01;-29661.499999999916;0.0;-46020.99999999991;16359.499999999996;23292.5;33841.7;62414.6;4073.7;6595.7;12947.6;361.6;5106.8;574.4;80885.79999999999;12448.9;9191.1;8673.4;8273.8;8239.9;28339.5;11752.500000000002
2017-12-01;-119607.10000000006;0.0;-150107.70000000007;30500.6;26877.2;34370.0;64872.2;5138.400000000001;4598.0;11725.6;836.3000000000001;6738.400000000001;465.1;115822.80000000002;12710.0;9331.0;9948.9;35192.8;12539.1;39425.3;10471.0
2018-01-01;3928.5999999999767;1958.0235822599764;-25889.400000000027;29818.000000000004;19290.7;38433.3;86641.7;2707.5;7780.9;19130.3;249.9;7469.700000000001;49.8;85101.20000000001;12215.7;7136.3;11252.0;2590.6;6199.4;31442.1;10313.5
2018-02-01;-20227.599999999977;-21258.971738349977;-27737.69999999997;7510.1;17608.0;35210.8;67189.8;3926.7;6272.5;13733.7;245.40000000000003;5535.0;43.8;81233.1;12619.7;8242.7;9165.6;2900.9;6973.200000000001;28631.0;8429.6
