fecha;deuda_bruta_total;deuda_pago_normal;deuda_titulos_mlp;deuda_letras_mlp;deuda_prestamos_mlp;deuda_org_int;deuda_fmi;deuda_bilaterales;deuda_adelantos_ext;deuda_adelantos_ord;deuda_titulos_cp;deuda_letras_cp;deuda_diferido;deuda_reestructuracion;deuda_pesos_no_cer;deuda_pesos_cer;deuda_usd;deuda_eur;deuda_deg
2019-01-01;335661.30000000005;332746.60000000003;216771.70000000004;12401.6;61442.8;51226.9;28314.5;6833.0;2476.0;11098.4;4292.2;23229.7;105.0;2809.7;58362.8;21908.0;200554.2;21808.1;28330.7
2019-02-01;334477.0;331571.2;219175.70000000004;12616.7;61419.99999999999;51268.49999999999;28259.1;6813.0;2261.6;10629.4;2000.0;22485.6;104.7;2801.1;54664.0;22424.0;202681.7;21767.9;28275.2
2019-03-01;324898.30000000005;322317.30000000005;213330.20000000004;12306.7;60737.9;50872.0;28062.9;6869.8;1840.7;9755.4;2000.0;22346.4;104.1;2476.9;47839.7;23433.300000000003;199729.3;21463.0;28079.0
2019-04-01;334322.89999999997;331741.1;212709.8;12367.900000000001;71608.70000000001;61740.899999999994;38821.7;6854.5;1692.8;9730.3;2000.0;21631.6;104.1;2477.7;48809.5;24252.4;196602.0;21479.9;38837.1
2019-05-01;329930.60000000003;327350.4;210302.70000000004;12700.2;70448.5;62173.7;38591.7;5275.4;1421.9;9782.3;1036.3;21658.5;104.0;2476.2;48285.899999999994;24444.5;194053.5;20650.199999999997;38607.0
2019-06-01;337267.10000000003;334706.10000000003;214827.1;13735.0;71211.1;62752.6;38940.4;5320.5;1088.4;10755.0;0.0;23089.5;104.7;2456.3;51064.0;27204.2;195133.8;21020.0;38955.0
2019-07-01;341957.5;339420.3;213511.0;13000.800000000001;76491.70000000001;68092.0;44220.2;5213.5;848.0;10611.8;0.0;24957.0;103.9;2433.3;49104.5;28331.3;195882.19999999998;20550.800000000003;44234.8
2019-08-01;310102.3;307589.2;189591.40000000002;27528.1;75521.90000000001;67638.4;43669.6;5269.1;629.7;7880.3;0.0;6437.8;103.1;2410.0;37395.9;21528.6;183254.4;20382.2;43684.0
2019-09-01;311251.2;308742.7;191006.50000000003;26559.9;75351.99999999999;67389.9;43508.8;5289.4;585.5;8148.8;0.0;7090.0;103.0;2405.5;38682.2;22608.8;182387.7;20211.1;43523.2
2019-10-01;312471.00000000006;309941.60000000003;191116.40000000005;25241.3;77540.90000000001;67953.29999999999;44018.9;5344.3;493.9;7923.3;0.0;7123.7;103.7;2425.7;38586.9;22863.399999999998;182420.5;20696.4;44032.8
2019-11-01;313299.1000000001;310778.50000000006;191685.80000000005;24362.0;77364.70000000001;67672.6;43813.4;5334.6;359.2;9041.1;0.0;7464.499999999999;103.4;2417.2;39617.5;23790.5;181690.6;20527.9;43827.3
2019-12-01;323064.6;320525.39999999997;194152.79999999996;23113.7;79052.40000000001;68000.7;44128.5;5398.1;4841.8;9395.3;0.0;8178.1;104.0;2435.2;47129.5;24451.199999999997;182562.69999999998;20891.4;44141.6
2020-01-01;324440.60000000003;321908.60000000003;195781.69999999998;22867.1;78705.1;67772.59999999999;43940.1;5289.3;4840.0;9294.2;0.0;8641.9;103.7;2428.3;48201.1;24106.5;183612.4;20674.8;43953.2
2020-02-01;324369.9000000001;321843.50000000006;195788.40000000002;22739.7;78329.09999999999;67603.7;43825.5;5284.3;6180.9;9246.9;0.0;7833.5999999999985;103.5;2422.8999999999996;47922.9;24043.5;184126.4;20551.2;43838.5
2020-03-01;323381.2;320855.3;199726.0;18398.8;77812.59999999999;67200.29999999999;43556.3;5284.5;7577.2;9248.2;0.0;7627.2;103.5;2422.3999999999996;40667.7;30109.5;184600.09999999998;20544.5;43569.3
2020-04-01;323254.8;320737.5;195138.30000000002;18372.3;78035.7;67501.2;43603.9;5283.8;7511.8;9915.2;2162.4;9601.800000000001;103.19999999999999;2414.1;40720.3;29588.3;185011.0;20425.800000000003;43616.3
